Fecha,Clics,Impresiones,CTR,Posición
2026-04-05,0,0,,
2026-04-06,0,0,,
2026-04-07,0,5,0%,89.6
2026-04-08,0,35,0%,68.7
2026-04-09,0,154,0%,73.2
2026-04-10,1,37,2.7%,55.2
2026-04-11,0,19,0%,44.3
2026-04-12,0,35,0%,48.9
2026-04-13,4,61,6.56%,32.7
2026-04-14,1,67,1.49%,32.3
2026-04-15,0,161,0%,75.4
2026-04-16,0,65,0%,46.3
2026-04-17,1,79,1.27%,51.5
2026-04-18,3,57,5.26%,42.8
2026-04-19,1,76,1.32%,44.7
2026-04-20,3,127,2.36%,27.1
2026-04-21,2,121,1.65%,24.7
2026-04-22,4,119,3.36%,25.4
2026-04-23,7,102,6.86%,21.4
2026-04-24,2,89,2.25%,12.4
2026-04-25,1,82,1.22%,16.3
2026-04-26,1,158,0.63%,30.5
2026-04-27,12,456,2.63%,25.4
2026-04-28,6,452,1.33%,37.1