País,Clics,Impresiones,CTR,Posición
España,22,439,5.01%,21.88
Alemania,5,269,1.86%,33.37
Italia,2,115,1.74%,18.85
Brasil,2,98,2.04%,14.05
México,2,60,3.33%,22.48
La India,2,44,4.55%,40.43
Australia,2,25,8%,61
Cuba,2,11,18.18%,10.36
Estados Unidos,1,478,0.21%,44.21
Portugal,1,51,1.96%,24.63
Países Bajos,1,28,3.57%,54.71
Argentina,1,27,3.7%,14.78
Perú,1,20,5%,25.45
Pakistán,1,14,7.14%,24.57
Ecuador,1,11,9.09%,5.27
Angola,1,10,10%,6.2
Mozambique,1,4,25%,15.25
El Salvador,1,1,100%,4
Reino Unido,0,239,0%,73.24
Irlanda,0,159,0%,84.31
Francia,0,65,0%,26.75
Canadá,0,40,0%,31.57
Austria,0,21,0%,29.62
Nueva Zelanda,0,21,0%,68.71
Filipinas,0,20,0%,11
Chile,0,20,0%,13.15
Colombia,0,16,0%,34.81
Kenia,0,10,0%,51.7
China,0,9,0%,14.89
Bélgica,0,9,0%,50.44
Bolivia,0,8,0%,5.38
Indonesia,0,8,0%,29.38
Suiza,0,8,0%,34.75
Tailandia,0,7,0%,15.57
Turquía,0,7,0%,15.86
Suecia,0,7,0%,28.14
Nigeria,0,7,0%,29.43
Trinidad y Tobago,0,7,0%,61.29
Sudáfrica,0,6,0%,7.17
Marruecos,0,6,0%,12.33
Hong Kong,0,6,0%,17.67
Polonia,0,6,0%,26
Ucrania,0,6,0%,49.67
Guatemala,0,5,0%,7.6
Japón,0,5,0%,10.8
Rusia,0,5,0%,26
Vietnam,0,5,0%,26.2
Bangladés,0,5,0%,53
Singapur,0,5,0%,73.6
Emiratos Árabes Unidos,0,4,0%,4.75
Qatar,0,4,0%,6.5
Argelia,0,4,0%,6.75
Malasia,0,4,0%,7
República Dominicana,0,4,0%,7.5
Estonia,0,4,0%,13.25
Israel,0,4,0%,21.25
Noruega,0,4,0%,24
Arabia Saudí,0,4,0%,25.25
Corea del Sur,0,4,0%,29
Lituania,0,3,0%,3.33
Bulgaria,0,3,0%,5
Albania,0,3,0%,6.33
Nicaragua,0,3,0%,9.67
Uruguay,0,3,0%,21.67
Ghana,0,3,0%,36
Jordania,0,2,0%,1.5
Eslovaquia,0,2,0%,2
Grecia,0,2,0%,5
Panamá,0,2,0%,5
Egipto,0,2,0%,5.5
Hungría,0,2,0%,5.5
Luxemburgo,0,2,0%,5.5
Taiwán,0,2,0%,6.5
Jamaica,0,2,0%,80
Costa Rica,0,1,0%,1
Kirguistán,0,1,0%,2
Etiopía,0,1,0%,3
Yemen,0,1,0%,3
Andorra,0,1,0%,4
Armenia,0,1,0%,4
Kuwait,0,1,0%,4
Moldavia,0,1,0%,6
Chequia,0,1,0%,7
Uzbekistán,0,1,0%,7
Irán,0,1,0%,8
Zimbabue,0,1,0%,8
Camerún,0,1,0%,9
Rumanía,0,1,0%,9
Serbia,0,1,0%,9
Uganda,0,1,0%,9
Isla de Man,0,1,0%,10
Malta,0,1,0%,10
Venezuela,0,1,0%,10
República Democrática del Congo,0,1,0%,11
Lesoto,0,1,0%,11
Tanzania,0,1,0%,12
Finlandia,0,1,0%,23
Siria,0,1,0%,32
Sri Lanka,0,1,0%,34
Túnez,0,1,0%,49
Guyana,0,1,0%,82
Mauricio,0,1,0%,83